pca1,pca2,pca3,pca4,pca5,pca6,pca7
-12022.80651,-65.47788309,441.7298728,59.44773441,63.18471713,-3.477496069,-0.205863128
-11461.09656,-66.34491564,-30.29721706,-52.92245885,-28.76432311,1.297524838,0.053540105
-12369.10185,-66.585366,-32.09937095,-59.29508681,-21.66058434,1.261841173,0.043594739
-11828.03297,-42.67686843,-27.79600869,49.87229653,23.17482281,-1.668622119,0.009972238
-11707.10235,-67.16804847,-30.494289,-61.49421906,-20.28147897,1.286462648,0.039263712
-15549.00904,-46.46531059,63.31099978,12.59410932,5.685532624,-0.848294224,-0.001744354
-14800.46665,1074.780901,37.26727591,1.401221633,-20.52687264,1.560477576,0.042303937
-14722.08382,-49.49613048,-37.94716197,-34.15010443,-21.98429722,0.775338576,0.057252695
-14549.08144,-65.42892166,3.873859763,-49.93864549,9.534484191,0.360198816,-0.006954911
-15661.10919,-65.62302384,-38.63867701,-65.53428337,-22.70344041,1.345814448,0.050764597
-8666.014645,-50.66924932,-29.09546246,98.54774333,78.25086421,-3.632184414,-0.055917652
-6927.094377,-66.9655171,-37.47252457,-41.93101406,-8.36085122,0.788175481,0.022698401
-7441.078858,-66.41608135,-16.86955254,-34.19090324,-21.59921032,0.858791859,0.037715254
-7438.079553,-66.64052094,-16.85171312,-36.12137519,-27.36149691,1.009629881,0.04534805
-7391.095643,-68.34156515,-27.41372876,-53.76965951,-19.5153907,1.206404261,0.032401673
-7386.088991,-67.63155131,-22.27130477,-46.22762772,-15.63590784,0.978191382,0.027260406
-7360.09804,-67.66747282,-36.38890378,-49.69549428,-14.17556242,1.03965471,0.029061455
-7332.020917,-40.874107,-38.96396323,73.26554813,-11.15259808,-1.318403908,0.062345961
-7302.072396,-69.20014162,17.54381825,-50.92666186,-13.53224859,0.95794045,0.009049346
-9301.081621,-63.21238373,-35.98036689,-17.77024046,15.08196488,-0.183369207,1.59E-05
-10102.1,-67.44770705,-31.15918464,-57.5991524,-21.94366914,1.279156802,0.040422431
-9436.096115,-54.42546543,-41.2955703,-49.09270674,8.757635366,0.557523637,0.001769259
-9430.041769,-55.16712134,-36.40214452,53.74633425,39.9083652,-2.028394693,-0.013631064
-2847.076782,-64.94023862,-40.81575263,-8.048502349,9.367702588,-0.116063298,0.002193344
-2101.070617,-64.24451434,-38.09407592,1.705987188,22.98980865,-0.560383295,-0.016343381
-3253.068705,-69.29674061,6.047965713,-37.75739919,-25.92221067,1.056045842,0.028145383
-2592.094263,-72.65924892,-9.990037396,-68.93786272,-32.12832443,1.809493385,0.03475086
-5845.974501,-49.89867951,4.414273127,125.9186593,-19.11391501,-2.218895118,0.072173042
-5619.055972,-71.63063714,56.65167907,-56.91482651,-20.34987364,1.172291251,0.000749574
-6161.044062,-58.45367327,-26.29217345,39.85101857,35.14021178,-1.62347719,-0.019727838
